percent,training_samples_after,training_samples_before,f1_macro_mean,f1_macro_std,f1_macro_UT2,f1_macro_UT3,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_UT2,balanced_accuracy_UT3,Sampler
0.005,8698,4370,0.9856568474604085,0.02868630507918275,0.8590893984712529,0.5872427983539095,0.975,0.049999999999999996,0.8531347419466575,0.6525805334257014,RandomOverSampler(random_state=21)
0.01,8698,4392,0.9806610845168844,0.025450766402943147,0.8582935560859188,0.6907287033869313,0.9652777777777779,0.04521894610027698,0.8354693453411846,0.6868721856598545,RandomOverSampler(random_state=21)
0.03,8698,4479,0.9900595846826186,0.015341445329665658,0.856333830104322,0.7008633824276282,0.9882316534040673,0.015788483311029868,0.8330446830620021,0.6939729823346034,RandomOverSampler(random_state=21)
0.05,8698,4566,0.993798416468534,0.006915110051633054,0.8725728155339806,0.7217062263501892,0.9905827318898691,0.013483232608914812,0.8545202632490474,0.7197783165916176,RandomOverSampler(random_state=21)
0.1,8698,4783,0.997457821457249,0.0012712615455868304,0.8820198928844682,0.7390403866068347,0.9964232839289938,0.002691748342420762,0.8664703844821614,0.7381364738482854,RandomOverSampler(random_state=21)
0.25,8698,5436,0.9988484411158807,0.001681224641047508,0.8746585735963581,0.7118290776446066,0.99884832368647,0.0020279463057035455,0.85694492552823,0.7126775199168687,RandomOverSampler(random_state=21)
0.5,8698,6523,0.999655172413793,0.0006896551724137722,0.8588883921919237,0.7046684709066305,0.999655172413793,0.0006896551724137722,0.8359889158295809,0.6976099757533772,RandomOverSampler(random_state=21)
1.0,8698,8698,0.9997700488076525,0.00028163156286627525,0.8849992323046215,0.7297533671506035,0.9997701149425288,0.00028155054514748324,0.870280568063734,0.7324211984759266,RandomOverSampler(random_state=21)
0.005,42,4370,0.5323171616158738,0.05061263955498813,0.8344308560677328,0.7387173396674585,0.9490738462759414,0.02522557861450283,0.8171111880845168,0.7332871492899203,RandomUnderSampler(random_state=21)
0.01,86,4392,0.5928724246785819,0.03209220900671591,0.8703396226415094,0.7813059762253705,0.939239249765221,0.04150855549415226,0.8512296501558712,0.7674056113612746,RandomUnderSampler(random_state=21)
0.03,260,4479,0.9538164648341043,0.022678066847005716,0.8534201954397395,0.7485455720749838,0.9895480134589694,0.00764867450494029,0.8285417388292344,0.7305161066851402,RandomUnderSampler(random_state=21)
0.05,434,4566,0.9795052290237255,0.017639395108305995,0.8568449277521227,0.7374136229022705,0.9957731174688835,0.004544159035882657,0.8335642535503983,0.7235885001731901,RandomUnderSampler(random_state=21)
0.1,868,4783,0.9898997693722412,0.005812455727359018,0.8648567571621419,0.7424393486208043,0.9919005613472333,0.008285791240263298,0.8439556633183236,0.7315552476619328,RandomUnderSampler(random_state=21)
0.25,2174,5436,0.998284454077023,0.002093105296181952,0.858121185052851,0.7141659681475272,0.9989639287837004,0.001055372545592779,0.8349497748527883,0.7047107724281261,RandomUnderSampler(random_state=21)
0.5,4348,6523,0.9996549066169791,0.00042265198673884505,0.8630034436292858,0.7290376569037657,0.9996546427247207,0.00046069735629417964,0.841531001039141,0.7196051264288188,RandomUnderSampler(random_state=21)
1.0,8698,8698,0.9997701146388092,0.0004597707223816805,0.8617132605770669,0.7183975761656287,0.9997701149425288,0.00045977011494251484,0.8397990994111535,0.7102528576376862,RandomUnderSampler(random_state=21)
0.005,47,4370,0.9543731572378549,0.03991982423104311,0.8586223128824729,0.6579335793357933,0.9547699826726452,0.05569912712298064,0.8439556633183235,0.6789054381711119,CondensedNearestNeighbour()
0.01,79,4392,0.9518065816771653,0.031220517178616163,0.8423696262372581,0.6858963608921683,0.9755837621082055,0.028603125096491162,0.8152060962937304,0.6756148250779355,CondensedNearestNeighbour()
0.03,170,4479,0.9583835439184549,0.03205268645158681,0.8203158344003414,0.7065980346279832,0.9935091098338589,0.006991473290392125,0.7812608243851749,0.6742293037755456,CondensedNearestNeighbour()
0.05,261,4566,0.8739851048386514,0.07395739918358196,0.8139832314906921,0.6910288582183187,0.9699500604288804,0.019562950253196515,0.7732940768964323,0.6588153792864566,CondensedNearestNeighbour()
0.1,491,4783,0.8429077352136183,0.1695135474647627,0.8337189126662811,0.6981923821820529,0.939175826356097,0.07024334496935963,0.800831312781434,0.6761343955663319,CondensedNearestNeighbour()
0.25,1151,5436,0.986710195204027,0.0035664023850752575,0.8017241379310345,0.6593030491599253,0.9942499624067047,0.0017084419551992086,0.7530308278489781,0.6207135434707309,CondensedNearestNeighbour()
0.5,2246,6523,0.9887102947849332,0.004271836842458946,0.817061074110812,0.6658142879974429,0.9922959406372763,0.002763835537642057,0.7764114998268099,0.6378593695878074,CondensedNearestNeighbour()
1.0,4350,8698,0.5986450118664294,0.3244193965082866,0.0,0.0,0.6985038953480682,0.24288318340473317,0.5,0.5,CondensedNearestNeighbour()
